City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Baykit,RU,1667600675,61.67,96.37,92,99,7.95,2.55
Ryōtsu-minato,JP,1667600428,38.0833,138.4333,81,59,51.67,9.4
Kaitangata,NZ,1667600675,-46.2817,169.8464,83,76,47.89,12.84
Bluff,NZ,1667600676,-46.6,168.3333,95,63,50.22,24.76
Mataura,NZ,1667600676,-46.1927,168.8643,97,70,49.17,10.16
Hermanus,ZA,1667600676,-34.4187,19.2345,76,90,64.8,9.15
Sungai Penuh,ID,1667601027,-2.0833,101.3833,100,93,64.85,1.16
Torbay,CA,1667600677,47.6666,-52.7314,40,94,44.49,8.05
San Patricio,US,1667600677,28.017,-97.5169,59,73,86.54,19.3
Bengkulu,ID,1667600677,-3.8004,102.2655,100,87,75.65,2.42
Hong Kong,HK,1667600678,22.2855,114.1577,88,85,71.33,11.99
Naze,JP,1667601028,28.3667,129.4833,21,65,63.52,14.5
Ambur,IN,1667601029,12.7833,78.7,39,98,69.26,1.9
Sawtell,AU,1667601030,-30.3833,153.1,75,82,65.19,9.22
Barrow,US,1667601030,71.2906,-156.7887,100,79,17.62,14.97
New Norfolk,AU,1667601032,-42.7826,147.0587,31,55,59.72,1.72
Jumla,NP,1667601032,29.2747,82.1838,0,71,43.84,4.72
Igarka,RU,1667600679,67.4667,86.5833,100,95,10.83,9.82
Tuktoyaktuk,CA,1667600680,69.4541,-133.0374,75,79,10.4,6.91
Punta Arenas,CL,1667600680,-53.15,-70.9167,75,72,57.31,16.11
Vaini,TO,1667600680,-21.2,-175.2,20,74,80.76,9.22
Santa Cruz Cabrália,BR,1667600680,-16.2781,-39.0247,100,94,66.43,9.22
Cutlerville,US,1667600680,42.8409,-85.6636,100,85,67.1,7.0
Luanda,AO,1667600681,-8.8368,13.2343,75,83,78.8,6.91
Valparaíso,CL,1667600681,-33.0393,-71.6273,75,72,61.03,9.22
Ilulissat,GL,1667600681,69.2167,-51.1,75,100,28.42,9.22
Ostrovnoy,RU,1667600681,68.0531,39.5131,100,96,36.99,11.3
Cayenne,GF,1667600682,4.9333,-52.3333,0,100,75.24,1.14
Port Moresby,PG,1667600682,-9.4431,147.1797,20,70,83.62,4.61
Sorong,ID,1667600682,-0.8833,131.25,100,84,79.23,4.03
Kavieng,PG,1667600682,-2.5744,150.7967,67,71,83.89,5.21
Carutapera,BR,1667600682,-1.195,-46.02,73,90,76.41,5.64
Bredasdorp,ZA,1667600683,-34.5322,20.0403,62,96,61.27,3.67
Grindavik,IS,1667600683,63.8424,-22.4338,75,81,45.07,25.32
Yellowknife,CA,1667600683,62.456,-114.3525,75,79,14.52,12.66
Harrison,US,1667600683,30.4091,-89.0436,100,82,75.27,17.27
Ponta do Sol,PT,1667600683,32.6667,-17.1,10,87,72.01,2.19
Busselton,AU,1667600684,-33.65,115.3333,0,89,50.92,8.16
Cidreira,BR,1667600684,-30.1811,-50.2056,2,72,62.46,8.34
Djibouti,DJ,1667600684,11.5,42.5,12,78,72.99,11.54
Leningradskiy,RU,1667600684,69.3833,178.4167,76,93,-3.24,5.7
East London,ZA,1667600684,-33.0153,27.9116,98,88,66.4,5.57
Hithadhoo,MV,1667600685,-0.6,73.0833,100,75,81.07,10.85
Shitanjing,CN,1667600685,39.2342,106.3439,1,50,34.27,7.09
Ndélé,CF,1667600685,8.4109,20.6473,90,44,72.72,1.39
Clyde River,CA,1667600685,70.4692,-68.5914,0,65,-0.17,5.75
Mount Isa,AU,1667600686,-20.7333,139.5,0,27,76.77,10.36
Aklavik,CA,1667600686,68.2191,-135.0107,100,94,10.38,11.05
Rikitea,PF,1667600686,-23.1203,-134.9692,0,68,70.75,13.13
Abu Samrah,SY,1667600686,35.3029,37.1841,0,69,60.48,2.75
Albany,US,1667600686,42.6001,-73.9662,71,65,65.05,4.79
Kattivākkam,IN,1667600687,13.2167,80.3167,9,82,78.89,9.26
San Jerónimo,PE,1667600687,-11.9472,-75.2829,56,59,59.38,3.31
Broken Hill,AU,1667600687,-31.95,141.4333,10,43,62.94,10.29
Saint-Philippe,RE,1667600415,-21.3585,55.7679,8,86,69.39,5.61
Bethel,US,1667600687,41.3712,-73.414,0,65,66.29,5.75
Tuatapere,NZ,1667600688,-46.1333,167.6833,88,56,52.14,13.91
Ushuaia,AR,1667600590,-54.8,-68.3,100,93,44.26,10.36
Howick,ZA,1667600688,-29.4779,30.2306,99,85,57.49,4.07
Castro,BR,1667600598,-24.7911,-50.0119,80,68,55.94,10.29
Oltu,TR,1667600688,40.5498,42.0013,13,87,41.13,1.14
Faanui,PF,1667600689,-16.4833,-151.75,99,89,75.4,24.52
Bambous Virieux,MU,1667600689,-20.3428,57.7575,75,88,71.85,2.3
Griffin,US,1667600689,33.2468,-84.2641,0,49,74.71,6.91
Klaksvík,FO,1667600689,62.2266,-6.589,100,92,43.72,23.22
La Estrella,CO,1667600690,6.1577,-75.6432,100,87,69.22,9.22
Faya,SA,1667600690,18.3851,42.4509,11,76,63.12,3.62
Saskylakh,RU,1667600690,71.9167,114.0833,100,97,-1.97,9.26
Ozinki,RU,1667600521,51.1786,49.6769,100,93,35.74,2.06
Chokurdakh,RU,1667600690,70.6333,147.9167,99,96,-17.19,2.39
Fortuna,US,1667600690,40.5982,-124.1573,100,87,60.93,3.0
Lebu,CL,1667600691,-37.6167,-73.65,100,79,55.76,6.67
Kapaa,US,1667600691,22.0752,-159.319,0,74,85.48,8.05
Atuona,PF,1667600691,-9.8,-139.0333,3,79,77.59,18.23
Banda Aceh,ID,1667600652,5.5577,95.3222,100,85,77.25,9.64
Zvishavane,ZW,1667600692,-20.3267,30.0665,87,63,73.58,3.4
Muyezerskiy,RU,1667600692,63.9333,31.65,100,94,36.48,6.78
Medicine Hat,CA,1667600693,50.0501,-110.6683,75,65,39.63,10.36
Okato,NZ,1667600693,-39.2,173.8833,39,62,61.68,16.33
Borisoglebskiy,RU,1667600693,57.2586,39.1508,100,87,32.09,4.18
Hobart,AU,1667600694,-42.8794,147.3294,40,75,60.06,0.0
São Filipe,CV,1667600598,14.8961,-24.4956,100,62,80.69,8.16
Ambon City,ID,1667600694,-3.6954,128.1814,20,88,77.14,5.75
Cliza,BO,1667600694,-17.6,-65.9333,0,27,73.29,11.61
Butaritari,KI,1667600694,3.0707,172.7902,92,73,79.65,5.82
Constitución,CL,1667600695,-35.3333,-72.4167,98,72,55.71,5.59
Freeport,US,1667600695,40.6576,-73.5832,0,83,66.56,5.75
Dali,CN,1667600695,25.7,100.1833,7,83,48.09,1.52
Salym,RU,1667600695,60.0625,71.4789,100,97,33.67,9.69
Khatanga,RU,1667600695,71.9667,102.5,84,100,-16.55,1.74
Alofi,NU,1667600696,-19.0595,-169.9187,40,74,80.49,18.41
Tibú,CO,1667600696,8.639,-72.7358,75,86,80.04,2.24
Portland,US,1667600643,45.5234,-122.6762,100,93,57.24,23.02
Ikalamavony,MG,1667600696,-21.15,46.5833,92,71,68.9,2.98
Victor Harbor,AU,1667600696,-35.5667,138.6167,67,78,63.68,8.9
Jamestown,US,1667600463,42.097,-79.2353,0,59,69.39,13.8
Upernavik,GL,1667600697,72.7868,-56.1549,100,94,25.25,20.31
Elk Plain,US,1667600697,47.0532,-122.3976,100,90,56.53,16.11
Tezu,IN,1667600697,27.9167,96.1667,0,52,64.06,4.16
Lavrentiya,RU,1667600697,65.5833,-171.0,88,78,13.84,9.26
Bollnäs,SE,1667600698,61.3482,16.3946,100,96,41.23,4.68
Bereket,TM,1667600698,39.2446,55.5154,16,57,53.28,13.15
Hilo,US,1667600698,19.7297,-155.09,75,92,75.61,8.05
Sobolevo,RU,1667600698,54.4299,31.8996,19,80,28.94,5.44
Cape Town,ZA,1667600416,-33.9258,18.4232,0,82,66.9,11.5
Puerto Ayora,EC,1667600699,-0.7393,-90.3518,75,77,76.96,12.15
Iracoubo,GF,1667600699,5.4802,-53.2011,98,86,77.52,4.97
Dikson,RU,1667600699,73.5069,80.5464,100,96,23.31,4.5
Sitka,US,1667600699,57.0531,-135.33,40,70,42.69,3.44
Álamos,MX,1667600699,27.0167,-108.9333,0,22,78.93,5.55
George Town,MY,1667600700,5.4112,100.3354,20,90,80.24,0.0
Changji,CN,1667600700,44.0167,87.3167,0,75,39.99,4.47
Hammerfest,NO,1667600456,70.6634,23.6821,75,87,37.85,0.0
Ouango,CF,1667600700,4.3133,22.5552,94,99,69.42,2.35
Remedios,CU,1667600700,22.4947,-79.5458,13,69,81.52,10.2
Port Alfred,ZA,1667600701,-33.5906,26.891,93,95,67.17,1.01
Longonjo,AO,1667600701,-12.9067,15.2533,87,86,66.34,1.12
Port-Gentil,GA,1667600701,-0.7193,8.7815,40,89,80.56,5.75
Port Elizabeth,ZA,1667600701,-33.918,25.5701,100,88,66.49,0.0
Hammonton,US,1667600702,39.6365,-74.8024,22,85,71.31,5.57
Dīglūr,IN,1667600702,18.55,77.6,0,66,63.97,2.19
Talcahuano,CL,1667600424,-36.7167,-73.1167,100,76,55.08,6.91
Norman Wells,CA,1667600702,65.282,-126.8329,75,72,8.64,13.8
Saint Paul Harbor,US,1667600703,57.79,-152.4072,0,41,36.91,10.36
Jiwani,PK,1667600703,25.05,61.7417,95,65,79.12,5.03
Nikolskoye,RU,1667600703,59.7035,30.7861,24,87,26.49,3.36
Eureka,US,1667600704,40.8021,-124.1637,100,94,61.2,3.0
Shache,CN,1667600704,38.4167,77.2406,66,35,46.17,4.92
Peniche,PT,1667600705,39.3558,-9.3811,84,89,53.92,12.55
Bima,ID,1667600705,-8.4667,118.7167,100,91,77.79,3.29
Awjilah,LY,1667600705,29.1081,21.2869,0,50,64.36,1.19
Caravelas,BR,1667600705,-17.7125,-39.2481,100,68,70.9,15.5
Bathsheba,BB,1667600705,13.2167,-59.5167,40,89,79.41,5.75
Avarua,CK,1667600706,-21.2078,-159.775,75,73,77.05,14.97
Khani,GE,1667600706,41.9563,42.9566,86,93,42.37,1.61
Magadan,RU,1667600675,59.5667,150.8,100,94,22.53,10.71
Dingle,PH,1667600706,10.9995,122.6711,94,94,75.69,6.35
Aparan,AM,1667600706,40.5932,44.3589,39,71,27.1,4.65
Marsá Maţrūḩ,EG,1667600707,31.3525,27.2453,0,67,61.0,0.0
Acajutla,SV,1667600707,13.5928,-89.8275,89,74,82.74,2.55
Pevek,RU,1667600708,69.7008,170.3133,12,92,-11.33,4.09
Lata,PT,1667600708,40.1629,-8.3327,77,77,49.08,2.82
Vao,NC,1667600708,-22.6667,167.4833,38,85,75.61,20.96
Katastari,GR,1667600708,37.8333,20.7667,0,73,58.89,8.14
Iskateley,RU,1667600709,67.6803,53.1512,100,96,28.87,10.98
Honiara,SB,1667600709,-9.4333,159.95,44,73,83.17,3.33
Philadelphia,US,1667600710,39.9523,-75.1638,20,76,70.56,1.99
Bouca,CF,1667600710,6.5105,18.2733,80,81,69.98,2.84
Longyearbyen,SJ,1667600710,78.2186,15.6401,75,86,30.04,5.75
Roald,NO,1667600710,62.5833,6.1333,75,100,51.17,3.44
Bosaso,SO,1667600710,11.2842,49.1816,0,76,77.65,1.61
Adrar,MR,1667600711,20.5022,-10.0711,0,14,74.57,10.36
Sioux Lookout,CA,1667600711,50.1001,-91.917,40,69,30.27,5.75
Bundaberg,AU,1667600711,-24.85,152.35,83,65,75.22,1.99
Coari,BR,1667600712,-4.085,-63.1414,74,73,78.26,2.77
Pemangkat,ID,1667600712,1.1667,108.9667,84,80,76.35,4.7
Kingisepp,RU,1667600712,59.3733,28.6134,13,84,30.13,4.5
Havelock,US,1667600713,34.8791,-76.9013,75,91,73.99,1.99
Provideniya,RU,1667600713,64.3833,-173.3,11,80,13.44,8.63
Taoudenni,ML,1667600713,22.6783,-3.9836,0,14,79.47,11.77
Teknāf,BD,1667600713,20.8624,92.3058,1,86,72.63,4.12
La Palma,US,1667600714,33.8464,-118.0467,40,42,74.44,9.22
Esso,RU,1667600714,55.9333,158.7,7,88,12.02,4.9
Thompson,CA,1667600714,55.7435,-97.8558,100,86,19.56,6.91
Bereda,ES,1667600715,43.2686,-7.5406,17,100,44.42,0.87
Province of Mantua,IT,1667600715,45.1667,10.7833,3,86,52.75,1.99
Berlevåg,NO,1667600715,70.8578,29.0864,75,81,39.2,9.22
Charlestown,AU,1667600715,-32.95,151.6667,0,74,69.08,1.99
Contamana,PE,1667600716,-7.3333,-75.0167,67,31,90.88,2.95
Estelle,US,1667600716,29.8458,-90.1067,75,78,81.0,16.11
Penzance,GB,1667600642,50.1186,-5.5371,99,79,54.28,13.47
Matamoros,MX,1667600716,25.5333,-103.25,40,10,91.51,9.22
Khovd,MN,1667600717,48.0056,91.6419,40,73,21.88,0.45
Mut,TR,1667600707,36.6439,33.4389,0,41,60.76,2.8
Mossamedes,AO,1667600717,-15.1961,12.1522,19,76,65.98,9.51
Hudson Bay,CA,1667600718,52.85,-102.3842,28,55,35.17,6.02
Irtyshskiy,RU,1667600718,58.3333,68.1333,100,98,33.58,11.16
Zemio,CF,1667600718,5.0314,25.1361,98,96,69.67,2.53
Qaanaaq,GL,1667600718,77.484,-69.3632,87,73,22.28,7.11
‘Āhuimanu,US,1667600719,21.4447,-157.8378,75,74,87.51,13.8
Inhambane,MZ,1667600719,-23.865,35.3833,99,85,75.54,11.61
Kloulklubed,PW,1667600719,7.0419,134.2556,100,72,77.5,7.9
Carnarvon,AU,1667600719,-24.8667,113.6333,0,72,65.53,21.56
Shinshiro,JP,1667600719,34.9,137.5,21,57,58.37,4.54
Mahébourg,MU,1667600720,-20.4081,57.7,75,88,71.89,2.3
Ribeira Grande,PT,1667600720,38.5167,-28.7,75,88,66.6,11.01
Uwajima,JP,1667600720,33.2238,132.56,8,75,52.95,8.34
Chicama,PE,1667600720,-7.8447,-79.1469,30,69,63.14,8.95
Bowen,AU,1667600721,-20.0167,148.2333,0,53,77.54,16.22
Myaundzha,RU,1667600721,63.0494,147.1858,94,98,-4.22,4.25
Kansanshi,ZM,1667600721,-12.0951,26.4273,95,89,62.15,2.21
Arraial do Cabo,BR,1667600721,-22.9661,-42.0278,75,82,64.26,6.91
Yangi Marg`ilon,UZ,1667600721,40.4272,71.7189,75,87,52.52,2.3
Laas,IT,1667600722,46.6166,10.7002,59,94,41.88,7.18
Muros,ES,1667600722,42.7762,-9.0603,11,93,48.09,5.06
Salalah,OM,1667600627,17.0151,54.0924,0,69,75.29,4.61
Ancud,CL,1667600722,-41.8697,-73.8203,100,85,54.61,7.99
Ampanihy,MG,1667600722,-24.7,44.75,94,77,72.3,7.18
Codrington,AU,1667600723,-38.2667,141.9667,2,80,54.93,8.34
Hołoby,UA,1667600723,51.0865,25.0077,58,80,43.05,10.25
Aksarka,RU,1667600723,66.5606,67.7975,33,86,8.74,8.68
Bredy,RU,1667600723,52.4153,60.3411,13,90,23.63,12.82
Nhulunbuy,AU,1667600724,-12.2333,136.7667,40,74,84.81,5.75
Barrhead,GB,1667600724,55.7992,-4.3929,75,89,48.06,5.75
Znamenskoye,RU,1667600724,57.1281,73.8282,100,72,37.27,15.32
Panlaitan,PH,1667600724,12.1191,119.8486,61,77,81.5,3.89
Puerto Princesa City,PH,1667600573,9.7392,118.7353,40,89,78.78,4.61
Makakilo City,US,1667600724,21.3469,-158.0858,0,63,86.32,13.8
Nayoro,JP,1667600725,44.3506,142.4578,86,94,34.2,6.87
Talnakh,RU,1667600725,69.4865,88.3972,100,94,15.21,12.37
Kenai,US,1667600725,60.5544,-151.2583,0,70,28.49,4.61
Ankang,CN,1667600726,32.68,109.0172,98,85,52.79,3.06
Slave Lake,CA,1667600726,55.2834,-114.769,100,48,39.18,4.61
Te Anau,NZ,1667600726,-45.4167,167.7167,14,52,51.69,4.79
Pergamino,AR,1667600726,-33.89,-60.5736,8,24,75.18,13.56
Shingū,JP,1667600726,33.7333,135.9833,1,73,52.9,5.32
Ayan,RU,1667600726,56.45,138.1667,94,51,23.32,18.59
Geraldton,AU,1667600727,-28.7667,114.6,0,87,52.21,5.75
Darasun,RU,1667600727,51.6667,114.0,86,96,10.8,1.68
Sarangani,PH,1667600727,5.4033,125.4636,100,76,83.41,14.36
Honningsvåg,NO,1667600727,70.9821,25.9704,0,87,40.75,20.71
Sept-Îles,CA,1667600728,50.2001,-66.3821,75,91,42.06,5.75
Quatre Cocos,MU,1667600728,-20.2078,57.7625,89,81,71.71,4.05
Nago,JP,1667600728,26.5881,127.9761,76,71,72.45,11.45
Cabo San Lucas,MX,1667600728,22.8909,-109.9124,20,62,83.05,3.44
Guerrero Negro,MX,1667600729,27.9769,-114.0611,2,29,73.4,9.98
Sibolga,ID,1667600729,1.7427,98.7792,100,90,73.94,1.57
Iqaluit,CA,1667600637,63.7506,-68.5145,75,63,20.93,6.91
Biak,ID,1667600730,-0.9131,122.8766,94,84,76.28,3.15
Oktyabr'skoye,RU,1667600730,43.0645,44.7417,100,100,37.54,2.24
Rognan,NO,1667600730,67.0953,15.3878,100,88,50.56,7.34
Port Macquarie,AU,1667600730,-31.4333,152.9167,41,68,63.72,3.47
Neyshabur,IR,1667600731,36.2133,58.7958,10,56,52.39,1.83
Nishihara,JP,1667600731,26.1842,127.7558,75,71,71.65,18.41
Chui,UY,1667600731,-33.6971,-53.4616,5,83,57.85,8.7
Necochea,AR,1667600732,-38.5473,-58.7368,0,57,64.38,19.73
Itoman,JP,1667600733,26.1247,127.6694,75,70,72.37,18.41
Alice Springs,AU,1667600733,-23.7,133.8833,0,29,63.95,5.75
Zyryanka,RU,1667600643,65.75,150.85,53,97,-13.11,7.56
Tiksi,RU,1667600733,71.6872,128.8694,95,96,-2.0,3.09
Jiaozuo,CN,1667600734,35.2397,113.2331,1,56,48.45,1.14
Stephenville,US,1667600520,32.2207,-98.2023,0,48,68.76,14.97
Biltine,TD,1667600734,14.5333,20.9167,99,16,74.35,7.34
Tual,ID,1667600734,-5.6667,132.75,79,72,84.6,11.21
Batagay,RU,1667600735,67.6333,134.6333,61,97,-15.47,3.04
Narsaq,GL,1667600735,60.9167,-46.05,87,68,46.62,7.74
Chickasha,US,1667600735,35.0526,-97.9364,100,93,44.91,18.41
Verkhoyansk,RU,1667600443,67.5447,133.385,83,100,-16.46,0.92
Albion,US,1667600446,42.2431,-84.753,40,60,71.55,16.11
Danielskuil,ZA,1667600736,-28.1887,23.5395,0,26,62.67,3.76
Carlsbad,US,1667600736,33.1581,-117.3506,0,41,74.26,11.5
Insar,RU,1667600737,53.8653,44.3738,100,99,33.28,4.23
Dunmore Town,BS,1667600737,25.5,-76.65,1,69,78.76,18.43
Trelew,AR,1667600738,-43.249,-65.3051,27,13,87.1,30.56
Ola,RU,1667600738,59.5833,151.2833,100,94,23.14,10.4
Huntington,US,1667600738,38.4193,-82.4452,0,47,76.1,8.05
Severnyy,RU,1667600738,50.677,36.5532,100,100,33.84,4.47
Tarauacá,BR,1667600738,-8.1614,-70.7656,79,42,82.15,0.83
Wuwei,CN,1667600739,37.9281,102.6414,71,46,35.64,3.6
Maniitsoq,GL,1667600739,65.4167,-52.9,100,69,27.66,6.44
Iralaya,HN,1667600739,15.0,-83.2333,60,78,82.58,5.1
Cabimas,VE,1667600739,10.3883,-71.4399,96,75,83.28,0.94
Pangody,RU,1667600740,65.85,74.4859,97,98,11.88,6.44
Fuyu,CN,1667600740,45.1833,124.8167,8,52,25.32,6.13
St-Jean-Port-Joli,CA,1667600740,47.2171,-70.2658,80,77,60.4,18.07
Byron Bay,AU,1667600740,-28.65,153.6167,21,70,68.94,8.39
Brufut,GM,1667600710,13.3814,-16.7518,0,83,73.49,0.0
Saint George,US,1667600741,37.1041,-113.5841,0,26,58.42,5.99
Dédougou,BF,1667600741,12.4667,-3.4667,73,23,81.19,5.23
Vanavara,RU,1667600741,60.34,102.2797,88,99,8.65,3.6
Kamaishi,JP,1667600741,39.2667,141.8833,33,69,44.04,5.01
Daliao,PH,1667600741,5.8611,124.9533,100,81,80.24,5.44
Phan Thiet,VN,1667600741,10.9333,108.1,100,89,73.65,6.42
Normandin,CA,1667600742,48.8333,-72.5321,99,63,61.11,13.8
Nouadhibou,MR,1667600743,20.931,-17.0347,0,68,71.58,12.66
Rome,US,1667600743,43.2128,-75.4557,0,52,66.34,5.75
Redmond,US,1667600627,47.674,-122.1215,100,90,60.22,15.99
Tutin,RS,1667600743,42.9903,20.3314,100,80,51.19,4.43
Abnūb,EG,1667600744,27.2696,31.1511,56,45,66.42,8.95
Kadoma,JP,1667600744,34.7333,135.5833,20,77,58.98,3.44
Lüderitz,NA,1667600744,-26.6481,15.1594,3,84,61.0,3.42
União,BR,1667600744,-4.5858,-42.8642,100,96,73.67,3.24
Misratah,LY,1667600744,32.3754,15.0925,0,48,71.08,16.22
Lompoc,US,1667600745,34.6391,-120.4579,0,39,68.94,18.41
Half Moon Bay,US,1667600745,37.4636,-122.4286,75,68,67.59,4.61
Ormara,PK,1667600745,25.2088,64.6357,100,68,78.73,13.49
Dunedin,NZ,1667600746,-45.8742,170.5036,24,43,57.79,14.0
Sola,VU,1667600746,-13.8833,167.55,27,67,80.98,4.52
Sampit,ID,1667600746,-2.5333,112.95,100,96,73.81,1.03
Airai,TL,1667600746,-8.9266,125.4092,76,78,62.47,1.97
Catacamas,HN,1667600747,14.8,-85.9,40,70,91.81,0.0
Elko,US,1667600747,41.0002,-115.5012,100,82,37.06,11.01
Leirvik,NO,1667600747,59.7798,5.5005,100,88,47.62,6.78
Kruisfontein,ZA,1667600747,-34.0033,24.7314,100,95,62.89,0.4
